,Materials,IP(A),EA(A),H(A),L(A),rs(A),rp(A),rd(A),IP(B),EA(B),H(B),L(B),rs(B),rp(B),rd(B),Delta E,sign(Delta E)
0, Li+ Cl,-5.329,-0.698,-2.8739999999999997,-0.978,1.652,1.995,6.93,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,-0.038388,-1
1, Li+ Br,-5.329,-0.698,-2.8739999999999997,-0.978,1.652,1.995,6.93,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,-0.032847,-1
2, Li+  I,-5.329,-0.698,-2.8739999999999997,-0.978,1.652,1.995,6.93,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,-0.022172,-1
3, Be+  O,-9.459,0.631,-5.6,-2.0980000000000003,1.078,1.2109999999999999,2.877,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,0.43005600000000005,1
4, Be+  S,-9.459,0.631,-5.6,-2.0980000000000003,1.078,1.2109999999999999,2.877,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,0.5064495,1
5, Be+ Se,-9.459,0.631,-5.6,-2.0980000000000003,1.078,1.2109999999999999,2.877,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,0.49488000000000004,1
6, Be+ Te,-9.459,0.631,-5.6,-2.0980000000000003,1.078,1.2109999999999999,2.877,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,0.46636099999999997,1
7,  B+  N,-8.19,-0.107,-3.715,2.248,0.805,0.826,1.946,-13.585,-1.867,-7.239,3.057,0.539,0.511,1.54,1.712778,1
8,  B+  P,-8.19,-0.107,-3.715,2.248,0.805,0.826,1.946,-9.751,-1.92,-5.596,0.183,0.826,0.966,1.771,1.0196875,1
9,  B+ As,-8.19,-0.107,-3.715,2.248,0.805,0.826,1.946,-9.262,-1.839,-5.341,0.064,0.847,1.043,2.023,0.8789035,1
10,  C+  C,-10.852,-0.872,-5.416,1.992,0.644,0.63,1.631,-10.852,-0.872,-5.416,1.992,0.644,0.63,1.631,2.6381375,1
11, Na+  F,-5.223,-0.716,-2.819,-0.718,1.715,2.597,6.566,-19.404,-4.273,-11.294,1.251,0.406,0.371,1.4280000000000002,-0.1458045,-1
12, Na+ Cl,-5.223,-0.716,-2.819,-0.718,1.715,2.597,6.566,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,-0.13305250000000002,-1
13, Na+ Br,-5.223,-0.716,-2.819,-0.718,1.715,2.597,6.566,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,-0.1266025,-1
14, Na+  I,-5.223,-0.716,-2.819,-0.718,1.715,2.597,6.566,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,-0.115454,-1
15, Mg+  O,-8.037,0.693,-4.782,-1.358,1.33,1.8969999999999998,3.1710000000000003,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,-0.177796,-1
16, Mg+  S,-8.037,0.693,-4.782,-1.358,1.33,1.8969999999999998,3.1710000000000003,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,-0.086812,-1
17, Mg+ Se,-8.037,0.693,-4.782,-1.358,1.33,1.8969999999999998,3.1710000000000003,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,-0.055126999999999995,-1
18, Mg+ Te,-8.037,0.693,-4.782,-1.358,1.33,1.8969999999999998,3.1710000000000003,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,-0.0049405000000000004,-1
19, Al+  N,-5.78,-0.313,-2.784,0.695,1.092,1.393,1.939,-13.585,-1.867,-7.239,3.057,0.539,0.511,1.54,0.0729255,1
20, Al+  P,-5.78,-0.313,-2.784,0.695,1.092,1.393,1.939,-9.751,-1.92,-5.596,0.183,0.826,0.966,1.771,0.21887150000000002,1
21, Al+ As,-5.78,-0.313,-2.784,0.695,1.092,1.393,1.939,-9.262,-1.839,-5.341,0.064,0.847,1.043,2.023,0.21235300000000001,1
22, Al+ Sb,-5.78,-0.313,-2.784,0.695,1.092,1.393,1.939,-8.468,-1.847,-4.9910000000000005,0.105,1.001,1.232,2.065,0.1503865,1
23, Si+  C,-7.757999999999999,-0.993,-4.163,0.44,0.938,1.1340000000000001,1.89,-10.852,-0.872,-5.416,1.992,0.644,0.63,1.631,0.6686675,1
24, Si+ Si,-7.757999999999999,-0.993,-4.163,0.44,0.938,1.1340000000000001,1.89,-7.757999999999999,-0.993,-4.163,0.44,0.938,1.1340000000000001,1.89,0.275475,1
25,  K+  F,-4.433,-0.621,-2.426,-0.6970000000000001,2.128,2.443,1.785,-19.404,-4.273,-11.294,1.251,0.406,0.371,1.4280000000000002,-0.146464,-1
26,  K+ Cl,-4.433,-0.621,-2.426,-0.6970000000000001,2.128,2.443,1.785,-13.902000000000001,-3.971,-8.7,0.574,0.679,0.7559999999999999,1.666,-0.164521,-1
27,  K+ Br,-4.433,-0.621,-2.426,-0.6970000000000001,2.128,2.443,1.785,-12.65,-3.739,-8.001,0.708,0.7490000000000001,0.882,1.869,-0.1664765,-1
28,  K+  I,-4.433,-0.621,-2.426,-0.6970000000000001,2.128,2.443,1.785,-11.257,-3.513,-7.236000000000001,0.213,0.8959999999999999,1.071,1.722,-0.168284,-1
29, Ca+  O,-6.428,0.304,-3.864,-2.133,1.757,2.324,0.679,-16.433,-3.0060000000000002,-9.197000000000001,2.541,0.462,0.42700000000000005,2.219,-0.26601149999999996,-1
30, Ca+  S,-6.428,0.304,-3.864,-2.133,1.757,2.324,0.679,-11.795,-2.845,-7.106,0.642,0.742,0.847,2.366,-0.36926950000000003,-1
31, Ca+ Se,-6.428,0.304,-3.864,-2.133,1.757,2.324,0.679,-10.946,-2.7510000000000003,-6.654,1.3159999999999998,0.7979999999999999,0.9520000000000001,2.177,-0.3613305,-1
32, Ca+ Te,-6.428,0.304,-3.864,-2.133,1.757,2.324,0.679,-9.867,-2.6660000000000004,-6.109,0.099,0.945,1.141,1.827,-0.350466,-1
